Language1;Language2;CollaborationScore;Lang1_norm;Lang2_norm
Prolog;Curry;0.35630291005291;Prolog;Curry
Prolog;E;0.31630291005291;Prolog;E
Prolog;Erlang;0.2896825396825396;Prolog;Erlang
Prolog;Occam;0.2847222222222222;Prolog;Occam
Prolog;Java;0.3015873015873015;Prolog;Java
Curry;Haskell;0.3842592592592593;Curry;Haskell
Curry;E;0.3114814814814815;Curry;E
Curry;CLU;0.3255511463844797;Curry;CLU
Curry;OCaml;0.3618386243386243;Curry;OCaml
Curry;Erlang;0.3126984126984126;Curry;Erlang
Curry;Occam;0.3074955908289241;Curry;Occam
Curry;C;0.3184303350970017;Curry;C
Curry;Java;0.3126984126984126;Curry;Java
Haskell;Erlang;0.3111111111111111;Haskell;Erlang
Haskell;Occam;0.3031746031746032;Haskell;Occam
Haskell;Java;0.3111111111111111;Haskell;Java
E;CLU;0.3668650793650794;E;CLU
E;C;0.2841269841269841;E;C
E;Java;0.3055555555555555;E;Java
CLU;Erlang;0.238095238095238;CLU;Erlang
CLU;Occam;0.2291666666666666;CLU;Occam
OCaml;Erlang;0.3738095238095238;OCaml;Erlang
OCaml;Occam;0.3668650793650793;OCaml;Occam
Erlang;C;0.2222222222222222;Erlang;C
Occam;C;0.2142857142857142;Occam;C
