Lang1;Lang2;total_repos;repos_with_difficulty;avg_difficulty_density;avg_artifacts_analyzed;difficulty_rate;true_total_available;rarity_score
C;Java;19;18;0.11447368421052631;2353.684210526316;0.9473684210526315;650896;0.9367
E;Erlang;1;1;0.0051;198.0;1.0;6556;0.9967
Erlang;Java;5;5;0.10352000000000001;2054.0;1.0;425051;0.9833
Haskell;C;15;15;0.12995333333333334;1570.9333333333334;1.0;252124;0.95
Haskell;OCaml;2;2;0.13925;2996.0;1.0;27320;0.9933
OCaml;C;28;28;0.15435714285714286;1695.7142857142858;1.0;239930;0.9067
OCaml;Java;5;5;0.11703999999999999;2369.8;1.0;426092;0.9833
Prolog;C;10;10;0.0977;253.2;1.0;233837;0.9667
Prolog;Haskell;1;1;0.0564;514.0;1.0;21227;0.9967
Prolog;OCaml;1;1;0.1512;344.0;1.0;9033;0.9967
Scheme;C;16;16;0.1513875;697.875;1.0;234800;0.9467
Scheme;Haskell;3;3;0.0901;1270.3333333333333;1.0;22190;0.99
Scheme;Java;7;7;0.1551428571428571;269.42857142857144;1.0;420962;0.9767
Scheme;OCaml;1;1;0.088;125.0;1.0;9996;0.9967
Scheme;Prolog;3;3;0.06926666666666666;622.6666666666666;1.0;3903;0.99
